FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
261153|Hatfield|Populated Place|32422|U6|||06|CA|1|093|Siskiyou|41.9979317|-121.5194366|01/19/1981|
261153|Hatfield|Populated Place|32422|U6|||41|OR|2|035|Klamath|41.9979317|-121.5194366|01/19/1981|
859740|Fort McDermitt Indian Reservation|Civil|1210R|D2|||32|NV|1|013|Humboldt|41.955973|-117.6574808|12/12/1980|12/01/2016
859740|Fort McDermitt Indian Reservation|Civil|1210R|D2|||41|OR|2|045|Malheur|41.955973|-117.6574808|12/12/1980|12/01/2016
1116542|Tollgate|Populated Place|74050|U6|||41|OR|1|059|Umatilla|45.7804129|-118.0927226|06/01/1992|
1116735|Naef (historical)|Locale|51075|U6|||41|OR|1|005|Clackamas|45.40262|-122.6295373|11/28/1980|
1116762|Adams|Populated Place|00350|P1|0010|410010059|41|OR|1|059|Umatilla|45.767354|-118.5624734|11/28/1980|03/21/2008
1116775|Adel|Populated Place|00450|U6|0011|410011037|41|OR|1|037|Lake|42.177388|-119.8985576|11/28/1980|
1116783|Agate Beach|Populated Place|00550|U6|0015|410015041|41|OR|1|041|Lincoln|44.6773386|-124.0617836|11/28/1980|
1116794|Alameda|Populated Place|00950|U6|||41|OR|1|051|Multnomah|45.5551182|-122.6306508|11/28/1980|
1116796|Albany|Populated Place|01000|P1|0020|410020043|41|OR|1|043|Linn|44.6365107|-123.1059282|11/28/1980|03/21/2008
1116796|Albany|Populated Place|01000|P1|0020|410020003|41|OR|2|003|Benton|44.6365107|-123.1059282|11/28/1980|03/21/2008
1116850|Alfalfa|Populated Place|01350|U6|||41|OR|1|017|Deschutes|44.0773433|-121.0169654|11/28/1980|
1116873|Allegany|Populated Place|01550|U6|0022|410022011|41|OR|1|011|Coos|43.4259469|-124.0323266|11/28/1980|
1116888|Alma|Populated Place|01625|U6|||41|OR|1|039|Lane|43.8909542|-123.474821|11/28/1980|
1116889|Aloha|Populated Place|01650|U5|0025|410025067|41|OR|1|067|Washington|45.4942838|-122.8670454|11/28/1980|03/21/2008
1116891|Alpine|Populated Place|01700|U5|||41|OR|1|003|Benton|44.3301223|-123.3603767|11/28/1980|01/29/2011
1116893|Alpine Junction|Locale|01750|U6|||41|OR|1|003|Benton|44.3365115|-123.2981529|11/28/1980|
1116894|Altamont|Populated Place|01850|U5|0030|410030035|41|OR|1|035|Klamath|42.2068123|-121.737224|11/28/1980|03/21/2008
1116942|Andrews|Populated Place|02100|U6|||41|OR|1|025|Harney|42.4640583|-118.6132397|11/28/1980|
1116966|Antelope|Populated Place|02250|P1|0050|410050065|41|OR|1|065|Wasco|44.9106819|-120.7228173|11/28/1980|01/10/2012
1117016|Apiary|Populated Place|02350|U6|||41|OR|1|009|Columbia|46.0140016|-123.0301117|11/28/1980|
1117019|Applegate|Populated Place|02400|U6|0053|410053029|41|OR|1|029|Jackson|42.2570662|-123.1683833|11/28/1980|
1117024|Arago|Populated Place|02550|U6|||41|OR|1|011|Coos|43.1020541|-124.1923284|11/28/1980|03/10/2015
1117030|Arch Cape|Populated Place|02650|U6|0057|410057007|41|OR|1|007|Clatsop|45.8289958|-123.9620824|11/28/1980|
1117045|Arock|Populated Place|02900|U6|0065|410065045|41|OR|1|045|Malheur|42.9140441|-117.5251539|11/28/1980|
1117060|Ash|Populated Place|02950|U6|||41|OR|1|019|Douglas|43.5523387|-123.821766|11/28/1980|
1117066|Ashwood|Populated Place|03100|U6|0073|410073031|41|OR|1|031|Jefferson|44.7337386|-120.7544782|11/28/1980|
1117076|Astoria|Populated Place|03150|P1|0080|410080007|41|OR|1|007|Clatsop|46.1878841|-123.8312534|11/28/1980|03/21/2008
1117091|Aumsville|Populated Place|03250|P1|0100|410100047|41|OR|1|047|Marion|44.8409548|-122.8709243|11/28/1980|03/21/2008
1117094|Aurora|Populated Place|03300|P1|0110|410110047|41|OR|1|047|Marion|45.2309536|-122.7559267|11/28/1980|03/21/2008
1117114|Azalea|Populated Place|03550|U6|0123|410123019|41|OR|1|019|Douglas|42.7953981|-123.2603401|11/28/1980|
1117219|Bandon|Populated Place|03800|P1|0140|410140011|41|OR|1|011|Coos|43.1189978|-124.408448|11/28/1980|03/21/2008
1117272|Bartlett|Populated Place|04300|U6|||41|OR|1|063|Wallowa|45.9845913|-117.4582317|11/28/1980|
1117276|Barton|Populated Place|04350|U6|||41|OR|1|005|Clackamas|45.38901|-122.4070328|11/28/1980|
1117497|Bellfountain|Populated Place|05700|U5|||41|OR|1|003|Benton|44.3637332|-123.355377|11/28/1980|01/29/2011
1117559|Bethany|Populated Place|05950|U5|||41|OR|1|067|Washington|45.5578943|-122.8676016|11/28/1980|01/29/2011
1117571|Beverly Beach|Populated Place|06200|U6|||41|OR|1|041|Lincoln|44.7203936|-124.0576162|11/28/1980|
1117690|Biggs Junction|Populated Place|06400|U5|||41|OR|1|055|Sherman|45.669846|-120.8328408|11/28/1980|03/21/2008
1117733|Birkenfeld|Populated Place|06550|U6|0192|410192009|41|OR|1|009|Columbia|45.9906668|-123.3376214|11/28/1980|
1117817|Blitzen|Locale|06920|U6|||41|OR|1|025|Harney|42.6143291|-119.0690911|11/28/1980|
1117824|Blooming|Populated Place|07000|U6|||41|OR|1|067|Washington|45.4873377|-123.0512169|11/28/1980|
1117861|Blue River|Populated Place|07100|U6|0193|410193039|41|OR|1|039|Lane|44.1545703|-122.3411742|11/28/1980|
1117918|Bonanza|Populated Place|07300|P1|0210|410210035|41|OR|1|035|Klamath|42.1987607|-121.4061076|11/28/1980|03/21/2008
1117952|Boring|Populated Place|07550|U6|0211|410211005|41|OR|1|005|Clackamas|45.4298429|-122.3748112|11/28/1980|
1118022|Boyd|Populated Place|07650|U6|||41|OR|1|065|Wasco|45.4892875|-121.0822909|11/28/1980|
1118029|Bradley Corner|Populated Place|07725|U6|||41|OR|1|067|Washington|45.4531736|-122.7742644|11/28/1980|
1118039|Brandt (historical)|Locale|07762|U6|||41|OR|1|019|Douglas|42.7712263|-123.5495149|11/28/1980|
1118047|Braun|Locale|07775|U6|||41|OR|1|009|Columbia|45.7926117|-123.2226147|11/28/1980|
1118065|Bridge|Populated Place|08050|U6|||41|OR|1|011|Coos|43.0239994|-124.0070412|11/28/1980|
1118090|Broadbent|Populated Place|08450|U6|0216|410216011|41|OR|1|011|Coos|43.0089985|-124.1464913|11/28/1980|
1118095|Brogan|Populated Place|08600|U5|0214|410214045|41|OR|1|045|Malheur|44.2462699|-117.517134|11/28/1980|01/29/2011
1118111|Brooks|Populated Place|08750|U5|0217|410217047|41|OR|1|047|Marion|45.048175|-122.9584291|11/28/1980|03/21/2008
1118139|Brownsboro|Populated Place|08950|U6|||41|OR|1|029|Jackson|42.4681827|-122.7100366|11/28/1980|
1118140|Brownsville|Populated Place|09050|P1|0220|410220043|41|OR|1|043|Linn|44.3934571|-122.9848108|11/28/1980|03/21/2008
1118228|Buckheaven|Populated Place|09325|U6|||41|OR|1|067|Washington|45.3765061|-122.9995473|11/28/1980|
1118249|Bucks Corners|Populated Place|09375|U6|||41|OR|1|059|Umatilla|45.7854101|-119.327795|11/28/1980|
1118331|Burlington|Populated Place|09750|U6|0237|410237051|41|OR|1|051|Multnomah|45.6462268|-122.8426018|11/28/1980|
1118337|Burns|Populated Place|09800|P1|0240|410240025|41|OR|1|025|Harney|43.5862607|-119.0541032|11/28/1980|03/21/2008
1118340|Burns Paiute Indian Colony|Civil|0400R|D1|||41|OR|1|025|Harney|43.5519764|-118.8039882|11/28/1980|12/01/2016
1118397|Butter Creek Junction|Locale|10065|U6|||41|OR|1|049|Morrow|45.6190175|-119.4375207|11/28/1980|
1118408|Butteville Station|Locale|10125|U6|||41|OR|1|047|Marion|45.2595641|-122.804262|11/28/1980|
1118451|Cairo|Populated Place|10200|U6|||41|OR|1|045|Malheur|43.9959965|-117.0090508|11/28/1980|
1118471|Callahan|Populated Place|10330|U6|||41|OR|1|019|Douglas|43.2659474|-123.6098072|11/28/1980|
1118484|Camas Valley|Populated Place|10350|U6|0253|410253019|41|OR|1|019|Douglas|43.0342815|-123.6739697|11/28/1980|
1118553|Canaan|Populated Place|10685|U6|||41|OR|1|009|Columbia|45.9320581|-122.9178851|11/28/1980|
1118554|Canby|Populated Place|10750|P1|0260|410260005|41|OR|1|005|Clackamas|45.2628986|-122.6925923|11/28/1980|03/21/2008
1118564|Cannon Beach Junction|Locale|10900|U6|||41|OR|1|007|Clatsop|45.941497|-123.9187488|11/28/1980|
1118589|Canyonville|Populated Place|11000|P1|0280|410280019|41|OR|1|019|Douglas|42.9273406|-123.2811748|11/28/1980|03/21/2008
1118596|Capitol Hill|Populated Place|11100|U4|||41|OR|1|051|Multnomah|45.4653964|-122.6975958|11/28/1980|
1118617|Carnahan|Populated Place|11175|U6|||41|OR|1|007|Clatsop|46.1003841|-123.9170864|11/28/1980|
1118639|Carus|Populated Place|11450|U6|||41|OR|1|005|Clackamas|45.2712333|-122.5706449|11/28/1980|
1118757|Cedar Mill|Populated Place|12150|U5|||41|OR|1|067|Washington|45.5248394|-122.810933|11/28/1980|03/21/2008
1118785|Central Point|Populated Place|12400|P1|0320|410320029|41|OR|1|029|Jackson|42.3759586|-122.9164307|11/28/1980|03/21/2008
1118824|Chapman|Populated Place|12485|U6|||41|OR|1|009|Columbia|45.8251134|-122.9853857|11/28/1980|
1118934|Chrome|Locale|13250|U6|||41|OR|1|011|Coos|43.2145544|-124.246222|11/28/1980|
1118978|Clarnie (historical)|Locale|13650|U6|||41|OR|1|051|Multnomah|45.546508|-122.5370373|11/28/1980|
1118980|Clatskanie|Populated Place|13750|P1|0340|410340009|41|OR|1|009|Columbia|46.1012219|-123.2067863|11/28/1980|03/21/2008
1118991|Clear Creek|Populated Place|13825|U6|||41|OR|1|009|Columbia|45.8059447|-123.2795609|11/28/1980|
1119004|Clear Lake|Populated Place|13850|U6|||41|OR|1|047|Marion|45.0353969|-123.0209306|11/28/1980|
1119014|Cleveland|Populated Place|14000|U6|||41|OR|1|019|Douglas|43.2962262|-123.4764705|11/28/1980|
1119023|Clifton|Populated Place|14050|U6|||41|OR|1|007|Clatsop|46.2109435|-123.4623528|11/28/1980|
1119057|Coaledo|Populated Place|14300|U6|||41|OR|1|011|Coos|43.2323324|-124.2331662|11/28/1980|
1119067|Coburg|Populated Place|14400|P1|0350|410350039|41|OR|1|039|Lane|44.1370689|-123.0664761|11/28/1980|01/10/2017
1119123|Cold Springs Junction|Populated Place|14530|U6|||41|OR|1|059|Umatilla|45.9137438|-119.1380652|11/28/1980|
1119149|College Hill|Populated Place|14625|U6|||41|OR|1|039|Lane|44.030958|-123.0981426|11/28/1980|
1119161|Colton|Populated Place|14700|U6|0368|410368005|41|OR|1|005|Clackamas|45.1720669|-122.4378631|11/28/1980|
1119192|Concomly (historical)|Locale|14900|U6|||41|OR|1|047|Marion|45.096508|-122.976764|11/28/1980|
1119195|Condon|Populated Place|15000|P1|0380|410380021|41|OR|1|021|Gilliam|45.2342966|-120.1850344|11/28/1980|03/21/2008
1119276|Coquille|Populated Place|15350|P1|0400|410400011|41|OR|1|011|Coos|43.1770545|-124.1876075|11/28/1980|03/21/2008
1119288|Cornutt|Locale|15700|U6|||41|OR|1|019|Douglas|42.9251169|-123.4328461|11/28/1980|12/12/2014
1119420|Cow Creek|Populated Place|16325|U6|||41|OR|1|019|Douglas|42.8565039|-123.597574|11/28/1980|
1119489|Crabtree|Populated Place|16350|U5|0448|410448043|41|OR|1|043|Linn|44.6351225|-122.8981455|11/28/1980|01/29/2011
1119506|Crane|Populated Place|16450|U5|0450|410450025|41|OR|1|025|Harney|43.4151559|-118.5782574|11/28/1980|01/29/2011
1119522|Crawfordsville|Populated Place|16650|U5|0458|410458043|41|OR|1|043|Linn|44.3570691|-122.8578637|11/28/1980|01/29/2011
1119540|Creswell|Populated Place|16950|P1|0460|410460039|41|OR|1|039|Lane|43.9179023|-123.0245261|11/28/1980|01/10/2017
1119552|Criterion (historical)|Populated Place|16958|U6|||41|OR|1|065|Wasco|45.0423439|-120.9978316|11/28/1980|
1119580|Crow|Populated Place|17000|U6|||41|OR|1|039|Lane|43.992901|-123.3395397|11/28/1980|
1119587|Crowley|Populated Place|17075|U6|||41|OR|1|045|Malheur|43.2915469|-117.8943457|11/28/1980|
1119593|Crown Point|Populated Place|17125|U6|||41|OR|1|011|Coos|43.330111|-124.3081712|11/28/1980|
1119642|Curtin|Populated Place|17400|U6|0472|410472019|41|OR|1|019|Douglas|43.7223433|-123.2120299|11/28/1980|
1119660|Dairy|Populated Place|17600|U6|0474|410474035|41|OR|1|035|Klamath|42.2351469|-121.52111|11/28/1980|
1119675|Damascus|Populated Place|17800|P1|||41|OR|1|005|Clackamas|45.417621|-122.4589783|11/28/1980|03/21/2008
1119724|Days Creek|Populated Place|18150|U5|0489|410489019|41|OR|1|019|Douglas|42.9723408|-123.1722829|11/28/1980|01/29/2011
1119726|Dayton Station|Locale|18200|U6|||41|OR|1|071|Yamhill|45.2353952|-123.0678802|11/28/1980|
1119770|Deady (historical)|Locale|18375|U6|||41|OR|1|019|Douglas|43.3542837|-123.3259089|11/28/1980|
1119843|Deerhorn|Populated Place|18425|U6|||41|OR|1|039|Lane|44.0817938|-122.7484092|11/28/1980|
1119847|Delake|Populated Place|18550|U4|||41|OR|1|041|Lincoln|44.962331|-124.0162247|05/22/1986|
1119849|Delena|Populated Place|18600|U6|||41|OR|1|009|Columbia|46.0984449|-123.0740038|11/28/1980|
1119852|Dellwood|Populated Place|18650|U6|||41|OR|1|011|Coos|43.3690018|-124.0139916|11/28/1980|
1119858|Denmark|Populated Place|18800|U6|||41|OR|1|015|Curry|42.890664|-124.4626091|11/28/1980|
1119868|Depoe Bay|Populated Place|18850|P1|0513|410513041|41|OR|1|041|Lincoln|44.8084467|-124.0631713|11/28/1980|03/21/2008
1119876|Deschutes Junction|Locale|19000|U6|||41|OR|1|017|Deschutes|44.1601186|-121.2589217|11/28/1980|
1119913|Dew Valley|Populated Place|19200|U6|||41|OR|1|011|Coos|43.0398306|-124.4142795|11/28/1980|
1119916|Dexter|Populated Place|19250|U6|0516|410516039|41|OR|1|039|Lane|43.915959|-122.8228506|11/28/1980|
1119935|Dickey Prairie|Locale|19500|U6|||41|OR|1|005|Clackamas|45.1181782|-122.5281419|11/28/1980|
1119978|Dixonville|Populated Place|19850|U6|||41|OR|1|019|Douglas|43.2076169|-123.2411773|11/28/1980|
1120022|Dolph Corner|Locale|20050|U6|||41|OR|1|053|Polk|44.9684508|-123.2998253|11/28/1980|
1120062|Downing (historical)|Locale|20440|U6|||41|OR|1|009|Columbia|46.1440001|-123.0726158|11/28/1980|
1120064|Downs|Populated Place|20465|U6|||41|OR|1|047|Marion|45.0423432|-122.7939799|11/28/1980|
1120077|Draperville|Populated Place|20550|U6|0540|410540043|41|OR|1|043|Linn|44.6459554|-123.0370374|11/28/1980|
1120081|Drewsey|Populated Place|20650|U6|0550|410550025|41|OR|1|025|Harney|43.8065466|-118.3774232|11/28/1980|
1120187|Dryland|Locale|20850|U6|||41|OR|1|005|Clackamas|45.1851215|-122.6614792|11/28/1980|
1120201|Dufur|Populated Place|20900|P1|0560|410560065|41|OR|1|065|Wasco|45.4531754|-121.1306244|11/28/1980|03/21/2008
1120224|Durham|Populated Place|21250|P1|0574|410574067|41|OR|1|067|Washington|45.4020631|-122.752874|11/28/1980|03/21/2008
1120258|Eagle Creek|Populated Place|21400|U6|0577|410577005|41|OR|1|005|Clackamas|45.3573432|-122.3589761|11/28/1980|
1120343|East Maupin|Populated Place|21735|U6|||41|OR|1|065|Wasco|45.172065|-121.07506|11/28/1980|
1120366|Eastside|Populated Place|22050|U4|0590|410590011|41|OR|1|011|Coos|43.363723|-124.1928891|11/28/1980|
1120378|Echo|Populated Place|22200|P1|0600|410600059|41|OR|1|059|Umatilla|45.7423538|-119.195567|11/28/1980|03/21/2008
1120389|Eddyville|Populated Place|22300|U6|0605|410605041|41|OR|1|041|Lincoln|44.6345632|-123.7764999|11/28/1980|
1120478|Elkton|Populated Place|22800|P1|0620|410620019|41|OR|1|019|Douglas|43.6376174|-123.5681519|11/28/1980|03/21/2008
1120501|Emigrant Springs (historical)|Populated Place|23230|U6|||41|OR|1|055|Sherman|45.6226264|-120.5625532|11/28/1980|
1120509|Enright|Populated Place|23450|U6|||41|OR|1|057|Tillamook|45.7237218|-123.5698446|11/28/1980|
1120527|Eugene|Populated Place|23850|P1|0660|410660039|41|OR|1|039|Lane|44.0520691|-123.0867536|11/28/1980|05/12/2014
1120558|Fairdale (historical)|Populated Place|23885|U6|||41|OR|1|071|Yamhill|45.3598347|-123.3353877|11/28/1980|
1120566|Fairview|Locale|24275|U6|||41|OR|1|055|Sherman|45.4970711|-120.5642183|11/28/1980|
1120567|Fairview|Populated Place|24150|U6|||41|OR|1|011|Coos|43.2167775|-124.0737143|11/28/1980|
1120587|Fall Creek|Populated Place|24450|U6|0678|410678039|41|OR|1|039|Lane|43.9595707|-122.8203521|11/28/1980|
1120621|Fanno|Locale|24650|U6|||41|OR|1|067|Washington|45.4587291|-122.7867648|11/28/1980|
1120637|Farmington|Populated Place|24765|U6|||41|OR|1|067|Washington|45.4490059|-122.9478804|11/28/1980|
1120655|Fayetteville|Locale|24900|U6|||41|OR|1|043|Linn|44.460956|-123.1639842|11/28/1980|
1120683|Fernvale|Populated Place|25225|U6|||41|OR|1|019|Douglas|42.7784516|-123.371454|11/28/1980|
1120703|Fields|Populated Place|25300|U6|0684|410684025|41|OR|1|025|Harney|42.2643371|-118.6751809|11/28/1980|
1120718|Finn Rock|Populated Place|25450|U6|0687|410687039|41|OR|1|039|Lane|44.1290148|-122.3828395|11/28/1980|
1120727|Fir Grove|Populated Place|25550|U6|||41|OR|1|039|Lane|44.1190131|-123.138145|11/28/1980|
1120752|Fischers Mill|Locale|25765|U6|||41|OR|1|005|Clackamas|45.3387328|-122.4356432|11/28/1980|
1120779|Fishers Corner|Populated Place|25825|U6|||41|OR|1|005|Clackamas|45.2903998|-122.5645339|11/28/1980|
1120893|Camp Warner (historical)|Military|26615|M1|||41|OR|1|037|Lake|42.3983333|-120.1363889|05/22/1986|03/26/2009
1120896|Fortune Branch|Populated Place|26600|U6|||41|OR|1|019|Douglas|42.7748416|-123.3175637|11/28/1980|
1120902|Foss|Populated Place|26630|U6|||41|OR|1|057|Tillamook|45.6962199|-123.7976289|11/28/1980|
1120903|Fossil|Populated Place|26650|P1|0710|410710069|41|OR|1|069|Wheeler|44.9981864|-120.2161373|11/28/1980|03/21/2008
1120920|Fourmile|Populated Place|26800|U6|||41|OR|1|011|Coos|43.0081638|-124.415112|11/28/1980|
1121015|Fruitland|Populated Place|27400|U6|||41|OR|1|047|Marion|44.9409538|-122.930649|11/28/1980|
1121036|Gales Creek|Populated Place|27700|U6|0736|410736067|41|OR|1|067|Washington|45.5865011|-123.2148334|11/28/1980|
1121041|Galesville|Populated Place|27725|U6|||41|OR|1|019|Douglas|42.7781753|-123.2958964|11/28/1980|
1121047|Galloway (historical)|Populated Place|27765|U6|||41|OR|1|049|Morrow|45.5579047|-119.4458544|11/28/1980|
1121055|Gap|Populated Place|27785|U6|||41|OR|1|039|Lane|43.7356779|-123.0559115|11/28/1980|05/12/2008
1121062|Garibaldi|Populated Place|28000|P1|0750|410750057|41|OR|1|057|Tillamook|45.5598266|-123.9109643|11/28/1980|03/21/2008
1121079|Gates|Populated Place|28200|P1|0763|410763047|41|OR|1|047|Marion|44.7562329|-122.4167483|11/28/1980|03/21/2008
1121079|Gates|Populated Place|28200|P1|0763|410763043|41|OR|2|043|Linn|44.7562329|-122.4167483|11/28/1980|03/21/2008
1121084|Gearhart|Populated Place|28450|P1|0770|410770007|41|OR|1|007|Clatsop|46.0242745|-123.9112502|11/28/1980|03/21/2008
1121091|Gem (historical)|Locale|28515|U6|||41|OR|1|035|Klamath|42.1273696|-121.7197218|11/28/1980|
1121112|Gervais|Populated Place|28650|P1|0780|410780047|41|OR|1|047|Marion|45.1081752|-122.8975952|11/28/1980|03/21/2008
1121156|Glen Avon|Populated Place|29175|U6|||41|OR|1|005|Clackamas|45.0840116|-122.4886963|11/28/1980|
1121159|Glendale Junction|Locale|29400|U6|||41|OR|1|019|Douglas|42.7548406|-123.372287|11/28/1980|
1121161|Gleneden Beach|Populated Place|29500|U6|0811|410811041|41|OR|1|041|Lincoln|44.8812224|-124.0342812|11/28/1980|
1121168|Glide|Populated Place|29750|U5|0814|410814019|41|OR|1|019|Douglas|43.3015069|-123.1011754|11/28/1980|03/21/2008
1121305|Grass Valley|Populated Place|30650|P1|0870|410870055|41|OR|1|055|Sherman|45.3601247|-120.7856114|11/28/1980|03/21/2008
1121336|Gravelford|Populated Place|30700|U6|||41|OR|1|011|Coos|43.1051104|-124.0781568|11/28/1980|
1121409|Greenberry|Locale|30900|U6|||41|OR|1|003|Benton|44.4548444|-123.2756541|11/28/1980|
1121414|Greenville (historical)|Locale|31200|U6|||41|OR|1|067|Washington|45.5928914|-123.1142754|11/28/1980|
1121424|Gresham|Populated Place|31250|P1|0880|410880051|41|OR|1|051|Multnomah|45.4981757|-122.4314796|11/28/1980|03/21/2008
1121492|Gunter|Populated Place|31425|U6|||41|OR|1|019|Douglas|43.7981749|-123.5100989|11/28/1980|
1121497|Gwendolen|Locale|31450|U6|||41|OR|1|021|Gilliam|45.3479082|-120.141424|11/28/1980|
1121507|Haines|Populated Place|31600|P1|0890|410890001|41|OR|1|001|Baker|44.9115341|-117.9388288|11/28/1980|03/21/2008
1121514|Haley|Locale|31625|U6|||41|OR|1|005|Clackamas|45.4428985|-122.3839783|11/28/1980|
1121528|Halsey|Populated Place|31750|P1|0910|410910043|41|OR|1|043|Linn|44.3840122|-123.1098145|11/28/1980|03/21/2008
1121545|Hammond|Populated Place|31850|U4|0920|410920007|41|OR|1|007|Clatsop|46.2001036|-123.9515357|11/28/1980|
1121601|Harlan|Populated Place|32250|U6|0935|410935041|41|OR|1|041|Lincoln|44.5398422|-123.6931645|11/28/1980|
1121603|Harmony|Locale|32300|U6|||41|OR|1|055|Sherman|45.4473486|-120.6131077|11/28/1980|
1121627|Harrisburg|Populated Place|32550|P1|0950|410950043|41|OR|1|043|Linn|44.2740124|-123.170648|11/28/1980|03/21/2008
1121711|Hazel Green|Populated Place|32950|U6|||41|OR|1|047|Marion|45.0103978|-122.9264831|11/28/1980|
1121728|Heceta Beach|Populated Place|33150|U6|||41|OR|1|039|Lane|44.0334547|-124.1312315|11/28/1980|
1121739|Helix|Populated Place|33250|P1|0970|410970059|41|OR|1|059|Umatilla|45.8495768|-118.6569253|11/28/1980|03/21/2008
1121748|Helvetia|Populated Place|33300|U6|||41|OR|1|067|Washington|45.5956712|-122.9173256|11/28/1980|
1121763|Heppner|Populated Place|33550|P1|0980|410980049|41|OR|1|049|Morrow|45.3531842|-119.5577997|11/28/1980|03/21/2008
1121773|Hermiston Junction|Locale|33712|U6|||41|OR|1|059|Umatilla|45.9179104|-119.3055722|11/28/1980|
1121843|Hines|Populated Place|34250|P1|1010|411010025|41|OR|1|025|Harney|43.5640385|-119.0810482|11/28/1980|03/21/2008
1121860|Hobsonville|Populated Place|34375|U6|||41|OR|1|057|Tillamook|45.5489933|-123.9020748|11/28/1980|
1121899|Holdman|Populated Place|34485|U6|||41|OR|1|059|Umatilla|45.872077|-118.9324983|11/28/1980|
1121920|Holley|Populated Place|34650|U5|||41|OR|1|043|Linn|44.3542917|-122.7834179|11/28/1980|01/29/2011
1121943|Homestead|Populated Place|34850|U6|||41|OR|1|001|Baker|45.0237673|-116.8507118|11/28/1980|
1121980|Hopville|Populated Place|35100|U6|||41|OR|1|053|Polk|44.8031758|-123.1328747|11/28/1980|
1122063|Hot Springs|Populated Place|35400|U6|||41|OR|1|035|Klamath|42.1151538|-121.2861037|11/28/1980|
1122160|Huntington|Populated Place|35700|P1|1040|411040001|41|OR|1|001|Baker|44.3512726|-117.2665686|11/28/1980|03/21/2008
1122184|Idleyld Park|Populated Place|35900|U6|1053|411053019|41|OR|1|019|Douglas|43.3237296|-123.0239511|11/28/1980|
1122366|Jacksonville|Populated Place|37000|P1|1100|411100029|41|OR|1|029|Jackson|42.3134584|-122.9669865|11/28/1980|03/21/2008
1122367|Jacktown|Locale|37050|U6|||41|OR|1|067|Washington|45.4495616|-122.919824|11/28/1980|
1122389|Jean|Populated Place|37175|U6|||41|OR|1|005|Clackamas|45.3981744|-122.739818|11/28/1980|
1122422|Jewell Junction|Locale|37510|U6|||41|OR|1|007|Clatsop|45.859|-123.5542918|11/28/1980|
1122517|Jordan|Populated Place|37750|U6|||41|OR|1|043|Linn|44.7270667|-122.6998089|11/28/1980|
1122522|Jordan Creek|Populated Place|37825|U6|||41|OR|1|057|Tillamook|45.5484418|-123.601786|11/28/1980|
1122534|Jordan Valley|Populated Place|37850|P1|1130|411130045|41|OR|1|045|Malheur|42.9740445|-117.0543038|11/28/1980|03/21/2008
1122556|Jumpoff Joe|Locale|37975|U6|||41|OR|1|031|Jefferson|44.6584597|-120.8411456|11/28/1980|
1122641|Keating|Populated Place|38450|U6|1159|411159001|41|OR|1|001|Baker|44.8740432|-117.5904873|11/28/1980|
1122659|Kellogg|Populated Place|38550|U6|||41|OR|1|019|Douglas|43.5551166|-123.5550941|11/28/1980|
1122680|Kelso|Populated Place|38650|U6|||41|OR|1|005|Clackamas|45.418454|-122.3081437|11/28/1980|
1122689|Keno|Populated Place|38750|U6|1162|411162035|41|OR|1|035|Klamath|42.1265334|-121.9300076|11/28/1980|
1122693|Kent|Populated Place|38800|U6|1171|411171055|41|OR|1|055|Sherman|45.1951258|-120.6942154|11/28/1980|
1122709|Kernville|Populated Place|38950|U6|1161|411161041|41|OR|1|041|Lincoln|44.8992776|-124.0045578|11/28/1980|
1122763|Kings Heights|Populated Place|39200|U6|||41|OR|1|051|Multnomah|45.5292845|-122.7078747|11/28/1980|
1122766|Kings Valley|Populated Place|39350|U5|1169|411169003|41|OR|1|003|Benton|44.7067856|-123.4345476|11/28/1980|01/29/2011
1122769|Kingsley|Populated Place|39240|U6|||41|OR|1|065|Wasco|45.3412294|-121.2006231|11/28/1980|
1122772|Kingston|Populated Place|39300|U6|||41|OR|1|043|Linn|44.7837333|-122.774255|11/28/1980|
1122778|Kinton|Populated Place|39450|U6|||41|OR|1|067|Washington|45.4231732|-122.8778779|11/28/1980|
1122793|Klamath Junction (historical)|Locale|39790|U6|||41|OR|1|029|Jackson|42.1415233|-122.6153068|11/28/1980|
1122809|Knappa Junction|Locale|39855|U6|||41|OR|1|007|Clatsop|46.1695541|-123.5840225|11/28/1980|
1122832|Kokel Corner|Locale|39880|U6|||41|OR|1|005|Clackamas|45.0451225|-122.5323078|11/28/1980|
1122880|Lacomb|Populated Place|40150|U5|1179|411179043|41|OR|1|043|Linn|44.5851228|-122.7434204|11/28/1980|01/29/2011
1122915|Lakebrook|Populated Place|40375|U6|||41|OR|1|047|Marion|45.0281744|-123.0503757|11/28/1980|
1122931|Lancaster|Populated Place|40850|U6|||41|OR|1|039|Lane|44.2529013|-123.1956485|11/28/1980|
1122952|Langlois|Populated Place|40950|U5|1204|411204015|41|OR|1|015|Curry|42.9234417|-124.4509433|11/28/1980|01/29/2011
1122976|Laurel|Populated Place|41250|U6|||41|OR|1|067|Washington|45.4184502|-122.99177|11/28/1980|
1122978|Laurel Grove|Populated Place|41300|U6|||41|OR|1|011|Coos|43.0256639|-124.4148346|11/28/1980|
